Numer konta księgowego,Nazwa konta księgowego,Nazwa dokumentu,Numer dokumentu,Data wystawienia dokumentu,Kwota dokumentu,Kwota WN,Data zapłaty,Dokument rozliczeniowy,Opis wydatku,Podmiot
520-10-022-1-105,Zużycie przedmiotów nie zaliczanych do środków trwałych i wyposażenia ewidencjonowanego,,617/13/2024,2024-05-21,1603.67,1603.67,2024-05-29,WB/133-127/24/0042/4,naczynia i sztućce Piękna,SYNERGIA GASTRO S.C.
520-10-022-1-105,Zużycie przedmiotów nie zaliczanych do środków trwałych i wyposażenia ewidencjonowanego,,E/294/2024/6200,2024-06-04,14158.0,14158.0,2024-06-04,WB/130-101/24/0125/76,szafy ul. Piękna,"""IKEA RETAIL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"
520-10-022-1-105,Zużycie przedmiotów nie zaliczanych do środków trwałych i wyposażenia ewidencjonowanego,,3331432734,2024-06-12,1849.99,1849.99,2024-06-12,WB/130-101/24/0127/9,odkurzacz ręczny,KARCHER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-105,Zużycie przedmiotów nie zaliczanych do środków trwałych i wyposażenia ewidencjonowanego,,FV/766/06/2024,2024-06-06,626.57,596.55,2024-07-03,WB/133-127/24/0052/2,"artykuły biurowe, niszczarka","""MASTER BIURO"" S.C. MAREK KUROWSKI, MARIUSZ GRYCIUK"
520-10-022-1-105,Zużycie przedmiotów nie zaliczanych do środków trwałych i wyposażenia ewidencjonowanego,,2426719119106008,2024-07-09,1209.61,69.99,2024-07-29,RZ/2024/07/0014,"środki czystości, materiały biurowe",Transgourmet Polska Sp. z o.o.
520-10-022-1-105,Zużycie przedmiotów nie zaliczanych do środków trwałych i wyposażenia ewidencjonowanego,,E/294/2024/6436,2024-07-16,4373.82,4373.82,2024-07-16,WB/130-101/24/0161/1,szafa Piękna,"""IKEA RETAIL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"
520-10-022-1-105,Zużycie przedmiotów nie zaliczanych do środków trwałych i wyposażenia ewidencjonowanego,,3331452184,2024-07-25,689.0,689.0,2024-08-01,WB/133-127/24/0064/4,odkurzacz Złotostocka,KARCHER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-108,Zużycie środków czystości,,2426700410000892,2024-01-04,386.34,212.84,2024-01-31,RZ/2024/01/0021,"środki czystości, kubki plastikowe",Transgourmet Polska Sp. z o.o.
520-10-022-1-108,Zużycie środków czystości,,111/13/2024,2024-01-29,240.0,240.0,2024-02-01,WB/133-127/24/0007/4,środki czystości,SYNERGIA GASTRO S.C.
520-10-022-1-108,Zużycie środków czystości,,0/0(005)0005/033013,2024-02-02,289.82,132.38,2024-02-29,RZ/2024/02/0003,"miotły, plastikowe kubki",Makro Cash and Carry Polska S.A.
520-10-022-1-108,Zużycie środków czystości,,F/294/2024/20568,2024-02-02,582.82,44.97,2024-02-29,RZ/2024/02/0003,pojemniki,"""IKEA RETAIL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"
520-10-022-1-108,Zużycie środków czystości,,2426703610013205,2024-02-05,814.52,814.52,2024-02-29,RZ/2024/02/0003,"środki czystości, filtry do wody",Transgourmet Polska Sp. z o.o.
520-10-022-1-108,Zużycie środków czystości,,FS-2024/02/50,2024-02-12,340.29,340.29,2024-02-14,WB/133-127/24/0012/2,rękawiczki jednorazowe,"DOLNOŚLĄSKIE ZAKŁADY USŁUGOWO - PRODUKCYJNE ""DOZAMEL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"
520-10-022-1-108,Zużycie środków czystości,,FA/1039/2024/G,2024-02-05,3001.69,3001.69,2024-02-26,WB/133-127/24/0014/2,środki czystości,Higma Service Sp.zo.o.
520-10-022-1-108,Zużycie środków czystości,,FA/1139/2024/G,2024-02-07,2140.22,2140.22,2024-02-26,WB/133-127/24/0014/3,środki czystości Złotostocka,Higma Service Sp.zo.o.
520-10-022-1-108,Zużycie środków czystości,,2426705210019197,2024-02-21,620.97,87.17,2024-02-29,RZ/2024/02/0010,"cukierki, środki czystości, art. biurowe",Transgourmet Polska Sp. z o.o.
520-10-022-1-108,Zużycie środków czystości,,FA/1942/2024/G,2024-03-04,2694.83,2694.83,2024-03-08,WB/133-127/24/0020/3,środki czystości Złotostocka,Higma Service Sp.zo.o.
520-10-022-1-108,Zużycie środków czystości,,FA/2234/2024/G,2024-03-13,2362.93,2362.93,2024-03-26,WB/133-127/24/0023/2,środki czystości Piękna,Higma Service Sp.zo.o.
520-10-022-1-108,Zużycie środków czystości,,FA/2250/2024/G,2024-03-13,386.52,386.52,2024-03-26,WB/133-127/24/0023/3,środki czystości Piękna,Higma Service Sp.zo.o.
520-10-022-1-108,Zużycie środków czystości,,2426707410027555,2024-03-14,337.0,337.0,2024-03-31,RZ/2024/03/0022,środki czystości,Transgourmet Polska Sp. z o.o.
520-10-022-1-108,Zużycie środków czystości,,0/0(005)0006/075029,2024-03-15,135.25,135.25,2024-03-31,RZ/2024/03/0022,środki czystości,Makro Cash and Carry Polska S.A.
520-10-022-1-108,Zużycie środków czystości,,396/13/2024,2024-04-04,240.0,240.0,2024-04-12,WB/133-127/24/0028/3,środki czystości Złotostocka,SYNERGIA GASTRO S.C.
520-10-022-1-108,Zużycie środków czystości,,FA/2966/2024/G,2024-04-04,2221.7,2221.7,2024-04-12,WB/133-127/24/0028/4,środki czystości Złotostocka,Higma Service Sp.zo.o.
520-10-022-1-108,Zużycie środków czystości,,218/13/2024,2024-04-09,580.0,580.0,2024-04-15,WB/133-127/24/0029/1,środki czystości,SYNERGIA GASTRO S.C.
520-10-022-1-108,Zużycie środków czystości,,FA/3204/2024/G,2024-04-11,2598.01,2598.01,2024-04-18,WB/133-127/24/0031/1,środki czystości Piękna,Higma Service Sp.zo.o.
520-10-022-1-108,Zużycie środków czystości,,FS-2024/04/49,2024-04-15,680.58,680.58,2024-04-18,WB/133-127/24/0031/3,rękawiczki,"DOLNOŚLĄSKIE ZAKŁADY USŁUGOWO - PRODUKCYJNE ""DOZAMEL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"
520-10-022-1-108,Zużycie środków czystości,,0/0(005)0001/102014,2024-04-11,267.23,165.96,2024-08-31,RZ/2024/08/0092,"środki czystości, klej",Makro Cash and Carry Polska S.A.
520-10-022-1-108,Zużycie środków czystości,,0/0(005)0001/114011,2024-04-23,236.69,236.69,2024-08-31,RZ/2024/08/0092,środki czystości,Makro Cash and Carry Polska S.A.
520-10-022-1-108,Zużycie środków czystości,,2426710010037193,2024-04-09,1083.29,825.33,2024-08-31,RZ/2024/08/0092,"środki czystości, kawa, baterie",Transgourmet Polska Sp. z o.o.
520-10-022-1-108,Zużycie środków czystości,,FA/4021/2024/G,2024-05-08,1510.3,1510.3,2024-05-21,WB/133-127/24/0039/2,środki czystości Złotostocka,Higma Service Sp.zo.o.
520-10-022-1-108,Zużycie środków czystości,,FA/4216/2024/G,2024-05-15,1585.61,1585.61,2024-05-29,WB/133-127/24/0042/3,środki czystości Piękna,Higma Service Sp.zo.o.
520-10-022-1-108,Zużycie środków czystości,,FA/4917/2024/G,2024-06-05,2264.98,2264.98,2024-06-12,WB/133-127/24/0045/4,środki czystości Złotostocka,Higma Service Sp.zo.o.
520-10-022-1-108,Zużycie środków czystości,,FA/5009/2024/G,2024-06-07,3144.64,3144.64,2024-06-17,WB/133-127/24/0046/3,środki czystości Piękna,Higma Service Sp.zo.o.
520-10-022-1-108,Zużycie środków czystości,,2426716419106010,2024-06-12,871.76,634.2,2024-06-30,RZ/2024/06/0022,"środki czystości, artykuły biurowe",Transgourmet Polska Sp. z o.o.
520-10-022-1-108,Zużycie środków czystości,,756/13/2024,2024-06-24,360.0,360.0,2024-07-03,WB/133-127/24/0052/3,środki czystości Piękna,SYNERGIA GASTRO S.C.
520-10-022-1-108,Zużycie środków czystości,,807/13/2024,2024-07-05,240.0,240.0,2024-07-16,WB/133-127/24/0057/3,środki czystości,SYNERGIA GASTRO S.C.
520-10-022-1-108,Zużycie środków czystości,,FA/6015/2024/G,2024-07-05,2664.92,2664.92,2024-07-16,FKOR/457/2024/G; WB/133-127/24/0057/4,środki czystości Złotostocka,Higma Service Sp.zo.o.
520-10-022-1-108,Zużycie środków czystości,,2426719119106008,2024-07-09,1209.61,859.69,2024-07-29,RZ/2024/07/0014,"środki czystości, materiały biurowe",Transgourmet Polska Sp. z o.o.
520-10-022-1-108,Zużycie środków czystości,,FA/6067/2024/G,2024-07-08,2705.61,2705.61,2024-07-16,WB/133-127/24/0057/5,środki czystości Złotostocka,Higma Service Sp.zo.o.
520-10-022-1-108,Zużycie środków czystości,,FKOR/457/2024/G,2024-07-11,-1106.41,-1106.41,2024-07-11,FA/6015/2024/G,zwrot ręczniki papierowe,Higma Service Sp.zo.o.
520-10-022-1-108,Zużycie środków czystości,,0/0(005)0003/194005,2024-07-12,448.45,422.92,2024-07-29,RZ/2024/07/0014,środki czystości,Makro Cash and Carry Polska S.A.
520-10-022-1-108,Zużycie środków czystości,,FS-2024/07/55,2024-07-15,340.29,340.29,2024-07-16,WB/133-127/24/0057/7,rękawiczki jednorazowe,"DOLNOŚLĄSKIE ZAKŁADY USŁUGOWO - PRODUKCYJNE ""DOZAMEL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"
520-10-022-1-108,Zużycie środków czystości,,2426719819107018,2024-07-16,317.96,317.96,2024-07-29,RZ/2024/07/0014,mopy,Transgourmet Polska Sp. z o.o.
520-10-022-1-108,Zużycie środków czystości,,2426720019102016,2024-07-18,678.35,403.83,2024-07-29,RZ/2024/07/0014,"środki czystości, podstawy pod parasol",Transgourmet Polska Sp. z o.o.
520-10-022-1-108,Zużycie środków czystości,,2426720019102017,2024-07-18,207.87,207.87,2024-07-29,RZ/2024/07/0014,mop,Transgourmet Polska Sp. z o.o.
520-10-022-1-108,Zużycie środków czystości,,FA/6538/2024/G,2024-07-23,3605.23,3605.23,2024-08-01,WB/133-127/24/0064/2,środki czystości Piękna,Higma Service Sp.zo.o.
520-10-022-1-108,Zużycie środków czystości,,275882/1199,2024-08-30,479.19,479.19,2024-08-31,RZ/2024/08/0073,środki czystości,Leroy Merlin Polska Sp. z o.o.
520-10-022-1-108,Zużycie środków czystości,,477244,2024-08-30,69.99,69.99,2024-08-31,RZ/2024/08/0073,kapsułki,ROSSMANN SDP sp. z o.o.
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,16/01/2024,2024-01-03,135.0,135.0,2024-01-18,WB/133-127/24/0001/2,dzienniki zajęć specjalistycznych,Wydawnictwo EduLex S.C.
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,CIS-4000939/2024,2024-02-14,335.82,335.82,2024-02-29,RZ/2024/02/0003,książki,WIEDZA I PRAKTYKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,0025240220240083,2024-02-15,225.3,225.3,2024-02-29,RZ/2024/02/0010,"gry edukacyjne, książka",SMYK Sp.zo.o.
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,628923/1281,2024-02-27,359.0,359.0,2024-02-29,RZ/2024/02/0010,sztuczna trawa,Leroy Merlin Polska Sp. z o.o.
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,A06110324057133114711373,2024-02-26,15.12,15.12,2024-02-29,RZ/2024/02/0010,zestaw do baniek,ACTION POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,80/24/K,2024-03-14,322.26,322.26,2024-03-31,RZ/2024/03/0022,rośliny przed przedszkole,"""KWIATON - 2"" Bogdan Gruca"
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,97052,2024-03-14,279.86,279.86,2024-03-31,RZ/2024/03/0022,wiaderka do piaskownicy,KAUFLAND Polska Markety Sp. z o.o. Sp. k.
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,205021,2024-03-15,29.95,29.95,2024-03-31,RZ/2024/03/0022,ziemia,DINO Polska S.A.
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,FVS/233/03/2024,2024-03-18,428.0,428.0,2024-03-31,RZ/2024/03/0022,pomoce dydaktyczne pedagog specjalny/psycholog,Pracownia Testów Psychologicznych i Pedagogicznych - Bartosz M. Radtke
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,606383/1374,2024-03-19,352.32,352.32,2024-03-31,RZ/2024/03/0022,rośliny i narzędzia ogrodnicze,Leroy Merlin Polska Sp. z o.o.
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,096063/0392,2024-04-19,144.84,144.84,2024-08-31,RZ/2024/08/0092,"kołki, siatka, paliki na Igrzyska Olimpijskie",CASTORAMA POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,0/0(005)0001/102014,2024-04-11,267.23,101.27,2024-08-31,RZ/2024/08/0092,"środki czystości, klej",Makro Cash and Carry Polska S.A.
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,363/2024,2024-04-22,59.04,59.04,2024-08-31,RZ/2024/08/0092,kreda spray,Firma Handlowo-Usługowa RENAX Remigiusz Sowa
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,444903/1293,2024-04-23,224.77,224.77,2024-08-31,RZ/2024/08/0092,"ziemia, kwiatki",Leroy Merlin Polska Sp. z o.o.
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,4675,2024-04-17,74.5,74.5,2024-08-31,RZ/2024/08/0092,balony,MAŁGORZATA DZIĘBOWSKA
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,4778,2024-04-23,8.5,8.5,2024-08-31,RZ/2024/08/0092,taśma do balonów,MAŁGORZATA DZIĘBOWSKA
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,5694,2024-04-17,33.6,33.6,2024-08-31,RZ/2024/08/0092,brystole,MATEUSZ CYMBOR OFFICE SHOP
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,F/D/0188215/24,2024-05-21,330.5,330.5,2024-06-03,WB/130-101/24/0124/119,zwrot dla pracownika Margareta Musiał,"WOJCIECH STERNA ""TAMI"" PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE"
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,FB/24/05/05419,2024-05-26,749.5,749.5,2024-06-17,WB/130-101/24/0135/58,książeczki na koniec zerówki - zwrot dla pracownika Kiepura-Przystasz Beata,BONITO.PL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,FV 69/06/2024,2024-06-06,388.47,388.47,2024-06-30,RZ/2024/06/0022,pomoce,Wypalanki Przemysław Wojtyra
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,398/24/K,2024-06-20,40.98,40.98,2024-06-30,RZ/2024/06/0022,kwiaty do przedszkola,"""KWIATON - 2"" Bogdan Gruca"
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,(S)FS-2750/02/2024/RO,2024-06-21,1141.72,1141.72,2024-07-03,WB/133-127/24/0052/1,pomoce sportowe Złotostocka,MOJE BAMBINO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-109,Zużycie pomocy naukowych i dydaktycznych,,FS/24/7/47,2024-07-16,237.79,237.79,2024-07-29,RZ/2024/07/0014,kurtyna wodna,ZAKUPOWO Martyna Urbaniak
520-10-022-1-110,Zużycie materiałów do napraw i remontów,,186149/0854,2024-07-09,100.27,100.27,2024-07-29,RZ/2024/07/0014,folie i taśmy malarskie,Leroy Merlin Polska Sp. z o.o.
520-10-022-1-111,Zużycie pozostałych materialów,,2426700410000892,2024-01-04,386.34,7.37,2024-01-31,RZ/2024/01/0021,"środki czystości, kubki plastikowe",Transgourmet Polska Sp. z o.o.
520-10-022-1-111,Zużycie pozostałych materialów,,689/01/2024/PL,2024-01-30,129.8,109.9,2024-01-30,WB/130-101/24/0022/148,klej do korka,KORK.PL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-111,Zużycie pozostałych materialów,,0/0(005)0005/033013,2024-02-02,289.82,157.44,2024-02-29,RZ/2024/02/0003,"miotły, plastikowe kubki",Makro Cash and Carry Polska S.A.
520-10-022-1-111,Zużycie pozostałych materialów,,F/294/2024/20568,2024-02-02,582.82,537.85,2024-02-29,RZ/2024/02/0003,pojemniki,"""IKEA RETAIL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"
520-10-022-1-111,Zużycie pozostałych materialów,,701786/1448,2024-03-19,167.45,167.45,2024-03-31,RZ/2024/03/0022,kora ogrodowa,Leroy Merlin Polska Sp. z o.o.
520-10-022-1-111,Zużycie pozostałych materialów,,2426710010037193,2024-04-09,1083.29,63.45,2024-08-31,RZ/2024/08/0092,"środki czystości, kawa, baterie",Transgourmet Polska Sp. z o.o.
520-10-022-1-111,Zużycie pozostałych materialów,,F/294/2024/35323,2024-06-17,1028.84,1028.84,2024-06-30,RZ/2024/06/0022,"pudła, ramki","""IKEA RETAIL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"
520-10-022-1-111,Zużycie pozostałych materialów,,000010520,2024-06-19,30.59,30.59,2024-06-30,RZ/2024/06/0022,uzupełnienie apteczki,APTEKA TARNOGAJSKA S.C.
520-10-022-1-111,Zużycie pozostałych materialów,,436080,2024-06-19,185.96,185.96,2024-06-30,RZ/2024/06/0022,pudełka,"""IKEA RETAIL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"
520-10-022-1-111,Zużycie pozostałych materialów,,2426719119106008,2024-07-09,1209.61,149.46,2024-07-29,RZ/2024/07/0014,"środki czystości, materiały biurowe",Transgourmet Polska Sp. z o.o.
520-10-022-1-111,Zużycie pozostałych materialów,,0/0(005)0003/194005,2024-07-12,448.45,25.53,2024-07-29,RZ/2024/07/0014,środki czystości,Makro Cash and Carry Polska S.A.
520-10-022-1-111,Zużycie pozostałych materialów,,2426720019102016,2024-07-18,678.35,274.52,2024-07-29,RZ/2024/07/0014,"środki czystości, podstawy pod parasol",Transgourmet Polska Sp. z o.o.
520-10-022-1-202,"Usługi telekomunikacyjne, informatyczne",,IPO-4005531/2024,2024-03-15,134.94,134.94,2024-03-26,WB/133-127/24/0023/10,dostęp do Portalu Oświatowego,WIEDZA I PRAKTYKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-202,"Usługi telekomunikacyjne, informatyczne",,IPO-6007723/2024,2024-04-15,134.94,134.94,2024-04-18,WB/133-127/24/0031/2,miesięczny dostęp do Portalu Oświatowego,WIEDZA I PRAKTYKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-202,"Usługi telekomunikacyjne, informatyczne",,IPO-2018091/2024,2024-08-14,143.8,143.8,2024-08-28,WB/133-127/24/0069/1,dostęp do Portalu Oświatowego,WIEDZA I PRAKTYKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-210,Usługi pomocy dydaktycznej,,IPO-8000976/2024,2024-01-15,134.94,134.94,2024-01-23,WB/133-127/24/0002/2,dostęp do Portalu Oświatowego,WIEDZA I PRAKTYKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-210,Usługi pomocy dydaktycznej,,FV/0007/2024/01/10-001,2024-01-10,4218.0,4218.0,2024-02-26,WB/133-127/24/0014/55,Poradnia psychologiczno-pedagogiczna,EDUKACJA DLA PRZYSZŁOŚCI
520-10-022-1-210,Usługi pomocy dydaktycznej,,FV/0027/2024/01/13-000,2024-01-31,6875.0,6875.0,2024-02-26,WB/133-127/24/0014/56,zajęcia dodatkowe,EDUKACJA DLA PRZYSZŁOŚCI
520-10-022-1-210,Usługi pomocy dydaktycznej,,FV/0003/2024/02/10-001,2024-02-08,4218.0,4218.0,2024-02-26,WB/133-127/24/0014/57,Poradnia psychologiczno-pedagogiczna,EDUKACJA DLA PRZYSZŁOŚCI
520-10-022-1-210,Usługi pomocy dydaktycznej,,IPO-3003235/2024,2024-02-14,134.94,134.94,2024-02-26,WB/133-127/24/0014/59,dostęp do Portalu Oświatowego,WIEDZA I PRAKTYKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-210,Usługi pomocy dydaktycznej,,FA/2024/02/3,2024-02-26,100.0,100.0,2024-03-06,WB/133-127/24/0019/1,fizjoterapia Antoni Dohojda,FizjoMotio Anna Jarosz
520-10-022-1-210,Usługi pomocy dydaktycznej,,FV/0035/2024/02/13-000,2024-02-29,6875.0,6875.0,2024-03-26,WB/133-127/24/0023/8,zajęcia dodatkowe,EDUKACJA DLA PRZYSZŁOŚCI
520-10-022-1-210,Usługi pomocy dydaktycznej,,1/MAR/03/2024,2024-03-06,6000.0,6000.0,2024-03-08,WB/133-127/24/0020/4,zaliczka wycieczka dzień dziecka,CENTRUM TURYSTYCZNO-REKREACYJNE HAPPY TIME SPORT I REKREACJA  SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-210,Usługi pomocy dydaktycznej,,FV/0002/2024/03/10-001,2024-03-07,9834.0,9834.0,2024-03-26,WB/133-127/24/0023/9,pomoc psychologiczno - pedagogiczna,EDUKACJA DLA PRZYSZŁOŚCI
520-10-022-1-210,Usługi pomocy dydaktycznej,,FV/0027/2024/03/13-000,2024-03-29,6900.0,6900.0,2024-04-25,WB/133-127/24/0032/5,zajęcia muzyczne z elementami tańca,EDUKACJA DLA PRZYSZŁOŚCI
520-10-022-1-210,Usługi pomocy dydaktycznej,,FV/0006/2024/04/10-001,2024-04-08,9834.0,9834.0,2024-04-25,WB/133-127/24/0032/4,pomoc psychologiczno - pedagogiczna,EDUKACJA DLA PRZYSZŁOŚCI
520-10-022-1-210,Usługi pomocy dydaktycznej,,FV/0028/2024/04/13-000,2024-04-30,6875.0,6875.0,2024-05-28,WB/133-127/24/0041/47,zajęcia muzyczne z elementami tańca,EDUKACJA DLA PRZYSZŁOŚCI
520-10-022-1-210,Usługi pomocy dydaktycznej,,FV/0004/2024/05/10-001,2024-05-07,9834.0,9834.0,2024-05-28,WB/133-127/24/0041/48,pomoc psychologiczno - pedagogiczna,EDUKACJA DLA PRZYSZŁOŚCI
